level,a,a_title,a_cat,a_col,a_keys,b,b_title,b_cat,b_col,b_keys,matched,match_rate,dropped_a,dropped_b,sample_matched,sample_unmatched
emd,15139553,경상북도 포항시_지역별 생산 가능 인구 현황,일반공공행정 - 국가통계,sigun,29,15139557,경상북도 포항시_지역별 주민등록 인구 현황,일반공공행정 - 국가통계,gpmn,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139553,경상북도 포항시_지역별 생산 가능 인구 현황,일반공공행정 - 국가통계,sigun,29,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139553,경상북도 포항시_지역별 생산 가능 인구 현황,일반공공행정 - 국가통계,sigun,29,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139553,경상북도 포항시_지역별 생산 가능 인구 현황,일반공공행정 - 국가통계,sigun,29,15139580,경상북도 포항시_지역별 생활 인구 현황,일반공공행정 - 국가통계,adstrd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139556,경상북도 포항시_지역별 유소년 인구 현황,일반공공행정 - 국가통계,sigun,29,15139557,경상북도 포항시_지역별 주민등록 인구 현황,일반공공행정 - 국가통계,gpmn,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139556,경상북도 포항시_지역별 유소년 인구 현황,일반공공행정 - 국가통계,sigun,29,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139556,경상북도 포항시_지역별 유소년 인구 현황,일반공공행정 - 국가통계,sigun,29,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139556,경상북도 포항시_지역별 유소년 인구 현황,일반공공행정 - 국가통계,sigun,29,15139580,경상북도 포항시_지역별 생활 인구 현황,일반공공행정 - 국가통계,adstrd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139557,경상북도 포항시_지역별 주민등록 인구 현황,일반공공행정 - 국가통계,gpmn,29,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139557,경상북도 포항시_지역별 주민등록 인구 현황,일반공공행정 - 국가통계,gpmn,29,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
